PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARD
Hugo Keenan,360,2,1,0,0,0,564,54,638,75,23,2,11,2,17,4,2,0,0,4,4,1,0,0,0,0,0,0
Dan Sheehan,185,2,0,0,0,0,144,22,48,29,8,1,11,0,22,7,4,1,0,1,2,0,0,0,0,1,0,0
Mack Hansen,400,3,1,0,0,0,331,50,214,84,40,6,14,2,22,10,3,4,1,6,9,1,0,0,0,0,0,0
Jimmy O'Brien,49,0,0,0,0,0,18,2,75,4,3,1,1,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0
Manuel Zuliani,133,0,0,0,0,0,135,23,36,32,12,3,9,0,14,4,2,4,0,3,1,1,0,0,1,0,0,0
Ken Owens,313,1,0,0,0,0,130,36,0,42,6,0,0,0,54,6,5,0,0,1,0,3,0,0,0,0,0,0
Tomas Francis,206,0,0,0,0,0,30,8,15,12,5,1,0,0,36,3,3,1,0,0,1,1,0,1,0,0,0,0
Adam Beard,400,0,0,0,0,0,79,24,0,51,27,0,0,2,52,8,4,3,0,2,3,7,1,0,13,1,0,0
Justin Tipuric,294,0,1,0,0,0,87,19,0,39,21,1,1,0,58,1,8,4,0,1,3,2,0,0,14,2,0,0
Tomos Williams,241,1,1,0,0,0,79,23,986,247,227,3,3,2,16,5,1,0,0,6,7,4,1,0,1,0,0,0
Josh Adams,324,0,0,0,0,0,158,25,345,35,12,1,3,0,27,7,5,1,2,3,1,1,0,0,0,0,0,0
George North,251,1,0,0,0,0,178,31,47,40,10,1,7,5,13,8,1,1,0,8,6,3,1,0,1,0,0,0
Liam Williams,201,2,0,0,0,0,240,27,360,39,16,4,13,1,12,6,0,2,0,3,2,5,1,0,0,0,2,0
Wyn Jones,142,0,0,0,0,0,56,16,0,22,6,0,0,0,11,6,1,0,1,0,1,3,0,2,2,0,0,0
Dillon Lewis,178,0,0,0,0,0,49,13,0,16,4,1,0,1,24,5,1,0,0,1,2,3,0,3,0,0,0,0
Tommy Reffell,160,0,0,0,0,0,58,14,0,25,12,1,0,0,31,3,2,1,0,0,0,1,0,0,0,0,0,0
Rio Dyer,308,2,0,0,0,0,316,32,41,41,12,3,11,3,18,10,2,0,1,7,4,0,0,0,0,0,0,0
Rhys Davies,25,0,0,0,0,0,4,2,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Jac Morgan,192,0,0,0,0,0,95,22,22,34,13,2,1,0,42,7,3,3,0,1,2,0,0,0,0,0,0,0
Taulupe Faletau,331,1,0,0,0,0,252,60,0,89,37,8,4,3,58,11,1,2,1,3,6,8,1,0,4,0,0,0
Rhys Webb,148,0,3,0,0,0,47,9,584,132,124,1,1,0,18,3,2,0,0,0,1,3,2,0,0,0,1,0
Scott Baldwin,41,0,0,0,0,0,27,6,0,9,3,0,0,0,8,3,0,0,0,1,0,0,0,0,0,0,0,0
Owen Williams,152,0,0,2,1,0,48,9,501,47,39,1,1,0,16,4,0,0,1,0,0,1,0,0,0,0,0,0
Louis Rees-Zammit,184,1,0,0,0,0,274,20,109,24,5,1,6,1,9,5,2,1,1,2,2,1,0,0,0,0,0,0
Gareth Thomas,180,0,0,0,0,0,56,9,0,14,5,0,2,0,32,1,2,0,1,0,0,5,0,2,0,0,0,0
Mason Grady,160,0,0,0,0,0,75,13,0,15,2,0,3,1,14,5,0,0,1,2,1,1,0,0,0,0,0,0
Joe Hawkins,320,0,0,0,0,0,279,44,234,71,29,2,5,0,26,12,2,0,2,3,1,1,0,0,1,0,0,0
Dafydd Jenkins,219,0,0,0,0,0,79,16,0,24,9,1,1,1,39,6,1,0,0,1,1,4,1,0,10,0,0,0
Alun Wyn,156,0,0,0,0,0,60,19,0,30,13,2,0,0,25,2,2,2,0,0,1,0,0,0,4,1,0,0
Dan Biggar,225,0,1,5,1,0,87,19,549,92,76,3,2,0,27,3,2,1,0,1,3,2,0,0,0,0,0,0
Rhys Carre,78,0,0,0,0,0,56,11,0,13,4,0,2,1,8,5,0,1,0,1,2,2,0,0,0,0,0,0
Alex Cuthbert,40,0,0,0,0,0,77,12,37,14,2,0,2,0,3,2,0,0,1,1,1,0,0,0,0,0,0,0
Johnny Sexton,259,0,0,10,5,0,205,27,594,121,94,0,7,0,24,5,1,3,0,3,5,1,0,0,0,0,0,0
Garry Ringrose,232,1,1,0,0,0,169,24,242,36,12,0,8,0,22,15,1,0,0,0,1,1,0,0,0,0,0,0
Tadhg Beirne,99,0,0,0,0,0,61,17,0,22,5,0,0,0,21,3,3,1,0,1,2,1,0,0,2,0,0,0
Rob Herring,42,1,0,0,0,0,26,6,0,7,1,0,0,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0
Uini Atonio,143,1,0,0,0,0,41,7,0,12,5,0,1,1,24,2,2,0,0,1,2,2,1,0,0,0,1,0
Thomas Lavault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthieu Jalibert,45,1,0,0,0,0,38,3,117,8,5,0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
Pietro Ceccarelli,57,0,0,0,0,0,29,5,0,7,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Anthony Jelonch,177,0,1,0,0,0,91,13,0,26,15,2,2,1,48,9,3,1,1,2,3,1,0,0,2,0,0,0
Nolann Le Garrec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaetan Barlot,36,0,0,0,0,0,28,3,0,4,2,1,1,0,7,0,1,1,0,0,0,0,0,0,0,1,0,0
Cian Healy,36,0,0,0,0,0,16,4,0,5,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0
